Version,Nodes,Best accuracy,Recall,Specificity,Precision,Best score
2,512,0.625,0.6667,0.5,0.8,0.5583
2,1024,0.5,0.6667,0.4,0.4,0.6917
2,2048,0.5,0.6667,0.4,0.4,0.6
2,4096,0.375,,0.375,0.0,0.7167
3,512,0.625,0.6364,0.6129,0.6364,0.5658
3,1024,0.5312,0.5556,0.5,0.5882,0.6167
3,2048,0.5625,0.5556,0.5714,0.625,0.6476
3,4096,0.375,,0.375,0.0,0.7167
4,512,0.5469,0.5435,0.5556,0.7576,0.5777
4,1024,0.7188,0.7222,0.7143,0.7647,0.5782
4,2048,0.6875,0.6667,0.7143,0.75,0.6167
4,4096,0.375,0.5,0.3333,0.2,0.6167
5,512,0.875,1.0,0.75,0.8,0.6083
5,1024,0.5,0.6667,0.4,0.4,0.5833
5,2048,0.875,1.0,0.75,0.8,0.5583
5,4096,0.5,1.0,0.4286,0.2,0.6167
